"G","Date","Tm","X","Opp","Result","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Player","RSorPO"
11,"2003-11-19","LAL","@","NYK","W",1,"33:00",7,13,0.54,0,0,NA,7,9,0.78,1,1,2,4,1,0,1,5,21,15.7,"Kobe Bryant","Regular Season"
12,"2003-11-21","LAL","","CHI","W",1,"36:00",10,19,0.53,0,1,0,8,11,0.73,1,4,5,4,3,1,3,4,28,21.3,"Kobe Bryant","Regular Season"
13,"2003-11-23","LAL","","MEM","W",1,"32:00",8,16,0.5,1,2,0.5,11,12,0.92,1,2,3,3,4,0,1,2,28,25.2,"Kobe Bryant","Regular Season"
14,"2003-11-26","LAL","","WAS","W",1,"26:00",7,13,0.54,1,3,0.33,7,7,1,0,4,4,4,2,0,3,3,22,17.5,"Kobe Bryant","Regular Season"
15,"2003-11-28","LAL","","SAS","W",1,"30:00",6,13,0.46,1,2,0.5,4,6,0.67,0,2,2,2,1,0,0,0,17,12.5,"Kobe Bryant","Regular Season"
16,"2003-11-30","LAL","","IND","W",1,"36:00",4,10,0.4,1,2,0.5,3,4,0.75,1,1,2,7,1,0,2,3,12,9.9,"Kobe Bryant","Regular Season"
17,"2003-12-03","LAL","@","SAS","W",1,"46:00",6,20,0.3,1,4,0.25,8,9,0.89,1,5,6,3,2,0,4,4,21,9.7,"Kobe Bryant","Regular Season"
18,"2003-12-04","LAL","@","DAL","W",1,"38:00",9,23,0.39,2,5,0.4,12,12,1,4,2,6,3,1,0,3,3,32,21.8,"Kobe Bryant","Regular Season"
19,"2003-12-07","LAL","","UTA","W",1,"40:00",4,17,0.24,2,4,0.5,9,10,0.9,2,4,6,3,1,0,2,4,19,10.4,"Kobe Bryant","Regular Season"
20,"2003-12-09","LAL","","NYK","W",1,"41:00",7,16,0.44,0,0,NA,7,8,0.88,3,3,6,9,1,0,3,1,21,19.1,"Kobe Bryant","Regular Season"
21,"2003-12-12","LAL","","DAL","L",1,"41:00",4,18,0.22,0,3,0,7,7,1,1,6,7,6,1,1,1,5,15,9.4,"Kobe Bryant","Regular Season"
22,"2003-12-13","LAL","@","POR","L",1,"42:00",10,18,0.56,1,3,0.33,14,15,0.93,3,2,5,6,0,1,2,2,35,30.8,"Kobe Bryant","Regular Season"
23,"2003-12-19","LAL","","DEN","W",0,"31:00",5,14,0.36,0,2,0,3,4,0.75,1,2,3,5,0,0,4,1,13,5.2,"Kobe Bryant","Regular Season"
24,"2003-12-21","LAL","","PHO","W",1,"39:00",4,12,0.33,0,2,0,2,3,0.67,3,3,6,4,0,0,4,0,10,4.6,"Kobe Bryant","Regular Season"
25,"2003-12-23","LAL","@","GSW","L",1,"38:00",8,16,0.5,3,5,0.6,4,5,0.8,1,4,5,2,1,1,4,5,23,13.6,"Kobe Bryant","Regular Season"
26,"2003-12-25","LAL","","HOU","L",1,"43:00",9,26,0.35,1,2,0.5,4,6,0.67,3,5,8,6,2,0,3,4,23,12.8,"Kobe Bryant","Regular Season"
27,"2003-12-28","LAL","","BOS","W",1,"36:00",5,18,0.28,1,6,0.17,0,0,NA,2,3,5,6,2,0,6,2,11,2.1,"Kobe Bryant","Regular Season"
28,"2004-01-02","LAL","@","SEA","L",1,"36:00",11,25,0.44,3,4,0.75,7,8,0.88,2,4,6,6,4,0,3,4,32,24.7,"Kobe Bryant","Regular Season"
29,"2004-01-04","LAL","@","LAC","L",1,"40:00",14,27,0.52,4,7,0.57,12,15,0.8,4,6,10,3,4,0,2,2,44,37.4,"Kobe Bryant","Regular Season"
30,"2004-01-06","LAL","@","MIN","L",1,"38:00",8,17,0.47,0,1,0,4,6,0.67,2,8,10,4,0,0,1,4,20,14.5,"Kobe Bryant","Regular Season"
31,"2004-01-07","LAL","@","DEN","L",1,"38:00",8,23,0.35,1,4,0.25,10,11,0.91,1,2,3,6,6,0,5,3,27,19,"Kobe Bryant","Regular Season"
32,"2004-01-09","LAL","","ATL","W",1,"31:00",9,19,0.47,2,5,0.4,6,6,1,0,5,5,6,3,0,1,2,26,23.2,"Kobe Bryant","Regular Season"
33,"2004-01-12","LAL","","CLE","W",1,"17:00",3,8,0.38,0,0,NA,4,5,0.8,1,4,5,2,1,0,0,1,10,9.1,"Kobe Bryant","Regular Season"
34,"2004-01-24","LAL","@","UTA","W",1,"38:00",6,15,0.4,1,4,0.25,8,13,0.62,2,2,4,6,0,0,0,0,21,17.1,"Kobe Bryant","Regular Season"
35,"2004-01-28","LAL","","SEA","W",1,"29:00",6,15,0.4,0,3,0,2,3,0.67,0,2,2,3,0,0,3,0,14,5.2,"Kobe Bryant","Regular Season"
36,"2004-02-11","LAL","@","HOU","L",1,"36:00",4,7,0.57,4,5,0.8,2,2,1,0,1,1,3,0,0,1,3,14,10.9,"Kobe Bryant","Regular Season"
37,"2004-02-17","LAL","","POR","W",1,"42:00",13,23,0.57,0,1,0,5,9,0.56,4,4,8,10,2,0,4,1,31,27.1,"Kobe Bryant","Regular Season"
38,"2004-02-18","LAL","@","GSW","W",1,"44:00",11,16,0.69,0,1,0,13,15,0.87,2,4,6,8,2,1,5,1,35,32.9,"Kobe Bryant","Regular Season"
39,"2004-02-20","LAL","","PHI","W",1,"30:00",10,18,0.56,1,2,0.5,7,8,0.88,4,1,5,7,3,2,2,4,28,27.8,"Kobe Bryant","Regular Season"
40,"2004-02-22","LAL","@","PHO","W",1,"42:00",15,25,0.6,2,5,0.4,8,8,1,4,3,7,5,3,0,2,0,40,36.7,"Kobe Bryant","Regular Season"
41,"2004-02-25","LAL","@","DEN","W",1,"41:00",14,26,0.54,2,4,0.5,5,5,1,2,5,7,10,3,0,3,2,35,31.5,"Kobe Bryant","Regular Season"
42,"2004-02-26","LAL","","SAC","L",1,"41:00",12,28,0.43,2,6,0.33,9,10,0.9,3,8,11,6,1,0,4,2,35,24.7,"Kobe Bryant","Regular Season"
43,"2004-02-28","LAL","@","WAS","W",1,"38:00",8,16,0.5,2,4,0.5,7,8,0.88,3,11,14,10,2,0,2,3,25,27.8,"Kobe Bryant","Regular Season"
44,"2004-02-29","LAL","@","NJN","W",1,"33:00",4,12,0.33,2,6,0.33,1,2,0.5,1,5,6,10,1,0,4,3,11,8.8,"Kobe Bryant","Regular Season"
45,"2004-03-03","LAL","@","HOU","W",1,"46:00",7,19,0.37,0,5,0,4,4,1,0,8,8,13,0,0,4,2,18,14.2,"Kobe Bryant","Regular Season"
46,"2004-03-05","LAL","","SEA","W",1,"1:00",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,"Kobe Bryant","Regular Season"
47,"2004-03-10","LAL","@","BOS","W",1,"40:00",4,16,0.25,0,2,0,10,14,0.71,3,2,5,10,3,0,3,2,18,15.7,"Kobe Bryant","Regular Season"
48,"2004-03-12","LAL","@","MIN","L",1,"38:00",6,20,0.3,1,3,0.33,3,3,1,2,9,11,5,0,0,2,2,16,9.2,"Kobe Bryant","Regular Season"
49,"2004-03-13","LAL","@","CHI","W",1,"38:00",12,25,0.48,1,4,0.25,10,11,0.91,2,6,8,3,2,1,5,2,35,24.1,"Kobe Bryant","Regular Season"
50,"2004-03-15","LAL","","ORL","W",1,"44:00",13,26,0.5,2,5,0.4,10,13,0.77,1,2,3,4,1,1,1,5,38,26.6,"Kobe Bryant","Regular Season"
51,"2004-03-17","LAL","@","LAC","W",1,"40:00",11,17,0.65,1,3,0.33,4,4,1,1,8,9,6,1,1,3,2,27,24.7,"Kobe Bryant","Regular Season"
52,"2004-03-19","LAL","","LAC","W",1,"39:00",10,20,0.5,0,2,0,7,8,0.88,2,5,7,3,5,0,3,4,27,22,"Kobe Bryant","Regular Season"
53,"2004-03-21","LAL","","MIL","W",1,"39:00",7,17,0.41,0,1,0,8,8,1,3,2,5,4,1,1,5,2,22,14.3,"Kobe Bryant","Regular Season"
54,"2004-03-24","LAL","","SAC","W",1,"37:00",11,23,0.48,2,5,0.4,12,12,1,2,4,6,6,1,0,0,3,36,30.9,"Kobe Bryant","Regular Season"
55,"2004-03-26","LAL","","MIN","W",1,"37:00",13,21,0.62,2,4,0.5,7,7,1,2,7,9,5,2,2,4,2,35,31.1,"Kobe Bryant","Regular Season"
56,"2004-03-28","LAL","","UTA","W",1,"40:00",8,23,0.35,1,3,0.33,17,21,0.81,1,5,6,4,1,1,1,5,34,23.2,"Kobe Bryant","Regular Season"
57,"2004-03-30","LAL","","NOH","W",1,"34:00",7,17,0.41,3,7,0.43,6,6,1,1,2,3,6,1,0,4,3,23,15.2,"Kobe Bryant","Regular Season"
58,"2004-04-01","LAL","","HOU","W",1,"45:00",8,19,0.42,1,2,0.5,9,12,0.75,2,5,7,4,5,1,6,2,26,19.3,"Kobe Bryant","Regular Season"
59,"2004-04-02","LAL","@","SEA","W",1,"40:00",9,18,0.5,3,5,0.6,4,6,0.67,0,1,1,2,2,0,3,4,25,14.3,"Kobe Bryant","Regular Season"
60,"2004-04-04","LAL","","SAS","L",1,"43:00",9,26,0.35,2,7,0.29,8,10,0.8,1,5,6,3,0,2,3,2,28,14.5,"Kobe Bryant","Regular Season"
61,"2004-04-06","LAL","","POR","L",1,"43:00",5,23,0.22,0,6,0,2,2,1,2,4,6,8,1,1,3,2,12,4,"Kobe Bryant","Regular Season"
62,"2004-04-09","LAL","","MEM","W",1,"45:00",9,23,0.39,1,4,0.25,14,15,0.93,1,5,6,7,4,1,3,2,33,28.1,"Kobe Bryant","Regular Season"
63,"2004-04-11","LAL","@","SAC","L",1,"42:00",3,13,0.23,0,3,0,2,3,0.67,1,4,5,4,2,0,3,4,8,1.8,"Kobe Bryant","Regular Season"
64,"2004-04-13","LAL","","GSW","W",1,"43:00",14,29,0.48,0,6,0,17,18,0.94,0,7,7,8,2,2,1,2,45,39.2,"Kobe Bryant","Regular Season"
65,"2004-04-14","LAL","@","POR","W",1,"53:00",14,31,0.45,4,10,0.4,5,9,0.56,0,8,8,5,1,1,2,4,37,23.3,"Kobe Bryant","Regular Season"
1,"2004-11-02","LAL","","DEN","W",1,"42:00",5,14,0.36,1,2,0.5,14,15,0.93,1,3,4,7,1,3,4,2,25,21.6,"Kobe Bryant","Regular Season"
2,"2004-11-03","LAL","@","UTA","L",1,"41:00",9,21,0.43,4,9,0.44,16,20,0.8,1,3,4,1,1,0,2,5,38,24.6,"Kobe Bryant","Regular Season"
3,"2004-11-05","LAL","","SAS","L",1,"45:00",8,22,0.36,1,5,0.2,11,13,0.85,3,2,5,4,1,1,3,3,28,18,"Kobe Bryant","Regular Season"
4,"2004-11-07","LAL","","ATL","W",1,"44:00",6,12,0.5,1,2,0.5,11,12,0.92,1,4,5,6,0,2,3,2,24,21.3,"Kobe Bryant","Regular Season"
5,"2004-11-09","LAL","@","NOH","W",1,"38:00",8,18,0.44,1,5,0.2,14,14,1,1,7,8,4,0,1,7,6,31,18.5,"Kobe Bryant","Regular Season"
6,"2004-11-10","LAL","@","MEM","L",1,"34:00",4,19,0.21,2,6,0.33,10,13,0.77,2,4,6,4,1,1,2,1,20,11.8,"Kobe Bryant","Regular Season"
7,"2004-11-12","LAL","@","ORL","L",1,"44:00",14,31,0.45,2,8,0.25,11,12,0.92,0,7,7,8,2,0,1,4,41,31.6,"Kobe Bryant","Regular Season"
8,"2004-11-13","LAL","@","HOU","W",1,"42:00",7,20,0.35,0,5,0,5,7,0.71,0,11,11,3,0,2,5,1,19,8.4,"Kobe Bryant","Regular Season"
9,"2004-11-17","LAL","","LAC","W",1,"45:00",9,16,0.56,0,1,0,5,5,1,0,6,6,11,5,2,5,5,23,24.3,"Kobe Bryant","Regular Season"
10,"2004-11-19","LAL","@","PHO","L",1,"45:00",10,33,0.3,5,10,0.5,4,5,0.8,4,7,11,10,0,1,3,1,29,18.7,"Kobe Bryant","Regular Season"
11,"2004-11-21","LAL","","CHI","W",1,"45:00",10,22,0.45,1,2,0.5,8,17,0.47,2,8,10,7,1,1,9,4,29,13.8,"Kobe Bryant","Regular Season"
12,"2004-11-23","LAL","","MIL","W",1,"44:00",11,24,0.46,0,2,0,8,10,0.8,1,5,6,5,3,1,4,2,30,21.4,"Kobe Bryant","Regular Season"
13,"2004-11-26","LAL","","SAC","L",1,"45:00",11,17,0.65,3,4,0.75,15,19,0.79,1,6,7,8,0,2,3,2,40,36.6,"Kobe Bryant","Regular Season"
14,"2004-11-28","LAL","","NOH","W",1,"44:00",7,20,0.35,1,5,0.2,5,5,1,2,4,6,7,3,1,7,4,20,11.4,"Kobe Bryant","Regular Season"
15,"2004-11-30","LAL","@","MIL","W",1,"43:00",4,13,0.31,2,6,0.33,10,12,0.83,3,4,7,11,1,2,4,2,20,20.3,"Kobe Bryant","Regular Season"
16,"2004-12-01","LAL","@","CHI","L",1,"44:00",9,21,0.43,3,11,0.27,7,9,0.78,0,3,3,10,1,3,6,4,28,19.5,"Kobe Bryant","Regular Season"
17,"2004-12-03","LAL","","GSW","W",1,"43:00",3,12,0.25,0,2,0,4,7,0.57,0,12,12,10,2,0,8,3,10,5,"Kobe Bryant","Regular Season"
18,"2004-12-08","LAL","","PHO","L",1,"45:00",7,23,0.3,4,10,0.4,2,3,0.67,3,11,14,11,2,0,8,3,20,12.2,"Kobe Bryant","Regular Season"
19,"2004-12-11","LAL","@","LAC","W",1,"45:00",13,32,0.41,1,6,0.17,10,10,1,1,9,10,5,0,2,4,2,37,23.3,"Kobe Bryant","Regular Season"
20,"2004-12-12","LAL","","ORL","W",1,"41:00",6,23,0.26,0,1,0,11,15,0.73,4,4,8,6,0,0,3,2,23,12.1,"Kobe Bryant","Regular Season"
21,"2004-12-14","LAL","@","SEA","L",1,"45:00",12,23,0.52,3,8,0.38,8,10,0.8,4,5,9,5,1,0,4,2,35,26.9,"Kobe Bryant","Regular Season"
22,"2004-12-16","LAL","@","SAC","W",1,"41:00",10,17,0.59,3,8,0.38,8,10,0.8,0,6,6,12,2,2,4,2,31,31.1,"Kobe Bryant","Regular Season"
23,"2004-12-17","LAL","","WAS","L",1,"50:00",9,22,0.41,3,7,0.43,15,22,0.68,1,9,10,14,2,1,5,1,36,31.9,"Kobe Bryant","Regular Season"
24,"2004-12-20","LAL","","MEM","L",1,"44:00",2,16,0.12,0,6,0,7,9,0.78,0,6,6,8,1,2,4,4,11,4,"Kobe Bryant","Regular Season"
25,"2004-12-22","LAL","","NOH","W",1,"45:00",9,26,0.35,1,4,0.25,10,15,0.67,3,2,5,4,4,1,4,2,29,17.8,"Kobe Bryant","Regular Season"
26,"2004-12-25","LAL","","MIA","L",1,"50:00",12,30,0.4,5,13,0.38,13,13,1,0,3,3,6,1,0,9,4,42,21.3,"Kobe Bryant","Regular Season"
27,"2004-12-28","LAL","","TOR","W",1,"46:00",14,26,0.54,4,7,0.57,16,18,0.89,0,2,2,4,2,0,5,2,48,34.2,"Kobe Bryant","Regular Season"
28,"2005-01-02","LAL","","DEN","W",1,"36:00",14,29,0.48,2,6,0.33,12,16,0.75,0,5,5,4,4,1,7,5,42,25.7,"Kobe Bryant","Regular Season"
29,"2005-01-04","LAL","@","SAS","L",1,"35:00",5,16,0.31,0,5,0,7,8,0.88,0,5,5,2,1,0,3,2,17,7.5,"Kobe Bryant","Regular Season"
30,"2005-01-05","LAL","@","DAL","L",1,"47:00",12,30,0.4,4,11,0.36,4,6,0.67,3,0,3,3,1,0,5,3,32,14,"Kobe Bryant","Regular Season"
31,"2005-01-07","LAL","","HOU","W",1,"45:00",10,19,0.53,1,2,0.5,6,10,0.6,0,5,5,10,0,0,3,3,27,20.4,"Kobe Bryant","Regular Season"
32,"2005-01-10","LAL","@","MIN","W",1,"40:00",9,19,0.47,6,11,0.55,7,7,1,1,0,1,4,0,1,5,0,31,20.5,"Kobe Bryant","Regular Season"
33,"2005-01-12","LAL","@","DEN","L",1,"40:00",5,14,0.36,2,8,0.25,4,6,0.67,1,4,5,7,3,2,1,2,16,16.8,"Kobe Bryant","Regular Season"
34,"2005-01-13","LAL","","CLE","W",1,"6:00",1,2,0.5,0,1,0,0,0,NA,0,0,0,3,0,0,1,0,2,2.1,"Kobe Bryant","Regular Season"
35,"2005-02-13","LAL","@","CLE","L",1,"41:00",7,22,0.32,1,4,0.25,11,11,1,1,3,4,6,2,0,4,3,26,16,"Kobe Bryant","Regular Season"
36,"2005-02-15","LAL","","UTA","W",1,"42:00",12,19,0.63,1,3,0.33,15,19,0.79,1,4,5,8,3,0,5,4,40,33.8,"Kobe Bryant","Regular Season"
37,"2005-02-22","LAL","","BOS","W",1,"40:00",6,13,0.46,0,3,0,9,12,0.75,1,5,6,3,1,1,3,4,21,14.5,"Kobe Bryant","Regular Season"
38,"2005-02-23","LAL","@","POR","W",1,"43:00",8,17,0.47,2,6,0.33,13,13,1,0,3,3,6,0,0,5,2,31,21.6,"Kobe Bryant","Regular Season"
39,"2005-02-25","LAL","","DET","L",1,"40:00",6,12,0.5,1,3,0.33,7,7,1,0,4,4,11,1,0,6,4,20,16.3,"Kobe Bryant","Regular Season"
40,"2005-02-27","LAL","@","TOR","L",1,"42:00",12,25,0.48,1,6,0.17,6,8,0.75,2,6,8,8,0,0,4,4,31,20.7,"Kobe Bryant","Regular Season"
41,"2005-02-28","LAL","@","NYK","L",1,"46:00",7,17,0.41,2,5,0.4,14,17,0.82,2,3,5,8,1,2,7,4,30,21.4,"Kobe Bryant","Regular Season"
42,"2005-03-02","LAL","@","BOS","L",1,"41:00",9,24,0.38,1,6,0.17,7,8,0.88,0,1,1,3,0,1,1,5,26,12.5,"Kobe Bryant","Regular Season"
43,"2005-03-04","LAL","","DAL","W",1,"43:00",13,27,0.48,0,4,0,14,16,0.88,2,6,8,6,2,2,3,3,40,32.1,"Kobe Bryant","Regular Season"
44,"2005-03-06","LAL","","IND","W",1,"39:00",12,24,0.5,0,2,0,13,13,1,2,8,10,2,2,0,5,3,37,26,"Kobe Bryant","Regular Season"
45,"2005-03-08","LAL","","LAC","L",1,"43:00",12,21,0.57,1,3,0.33,16,16,1,2,3,5,3,0,1,3,3,41,32,"Kobe Bryant","Regular Season"
46,"2005-03-10","LAL","@","DAL","W",1,"44:00",14,22,0.64,0,0,NA,8,10,0.8,1,8,9,3,1,2,3,3,36,28.8,"Kobe Bryant","Regular Season"
47,"2005-03-12","LAL","@","CHA","W",1,"44:00",12,24,0.5,4,6,0.67,4,5,0.8,2,2,4,9,0,0,2,2,32,25.1,"Kobe Bryant","Regular Season"
48,"2005-03-14","LAL","@","WAS","L",1,"41:00",6,22,0.27,4,12,0.33,2,2,1,2,2,4,6,1,1,1,2,18,11.1,"Kobe Bryant","Regular Season"
49,"2005-03-15","LAL","@","PHI","L",1,"36:00",6,15,0.4,3,8,0.38,5,7,0.71,0,3,3,2,2,0,4,3,20,10.2,"Kobe Bryant","Regular Season"
50,"2005-03-17","LAL","@","MIA","L",1,"46:00",8,23,0.35,2,6,0.33,8,9,0.89,5,5,10,3,4,1,3,2,26,20.7,"Kobe Bryant","Regular Season"
51,"2005-03-18","LAL","@","IND","L",1,"29:00",5,14,0.36,1,4,0.25,1,2,0.5,1,1,2,4,1,0,0,4,12,7,"Kobe Bryant","Regular Season"
52,"2005-03-20","LAL","","SEA","L",1,"41:00",12,23,0.52,4,10,0.4,2,4,0.5,2,3,5,4,1,0,2,3,30,20.8,"Kobe Bryant","Regular Season"
53,"2005-03-22","LAL","@","UTA","L",1,"44:00",16,26,0.62,9,15,0.6,2,6,0.33,1,2,3,4,2,0,3,2,43,31.9,"Kobe Bryant","Regular Season"
54,"2005-03-24","LAL","@","DEN","L",1,"39:00",5,13,0.38,0,4,0,8,8,1,2,2,4,4,1,2,6,1,18,11.7,"Kobe Bryant","Regular Season"
55,"2005-03-27","LAL","","PHI","L",1,"39:00",10,22,0.45,6,13,0.46,8,8,1,0,10,10,5,0,1,6,4,34,22.2,"Kobe Bryant","Regular Season"
56,"2005-03-29","LAL","","NYK","W",1,"38:00",10,17,0.59,3,7,0.43,9,14,0.64,1,5,6,5,1,0,4,1,32,24.4,"Kobe Bryant","Regular Season"
57,"2005-03-31","LAL","","MIN","L",1,"41:00",7,16,0.44,3,7,0.43,9,12,0.75,5,3,8,6,1,0,2,2,26,23.2,"Kobe Bryant","Regular Season"
58,"2005-04-02","LAL","@","SAS","L",1,"40:00",6,19,0.32,1,6,0.17,2,2,1,0,8,8,6,3,0,5,1,15,8.3,"Kobe Bryant","Regular Season"
59,"2005-04-03","LAL","@","MEM","L",1,"14:00",4,8,0.5,0,3,0,1,1,1,1,2,3,0,0,0,1,1,9,4.9,"Kobe Bryant","Regular Season"
60,"2005-04-07","LAL","","HOU","L",1,"42:00",4,19,0.21,2,6,0.33,9,10,0.9,2,8,10,10,1,0,1,2,19,16.9,"Kobe Bryant","Regular Season"
61,"2005-04-08","LAL","@","SEA","W",1,"40:00",15,22,0.68,7,11,0.64,5,6,0.83,1,1,2,5,2,1,3,2,42,35.6,"Kobe Bryant","Regular Season"
62,"2005-04-10","LAL","@","SAC","L",1,"35:00",8,17,0.47,1,4,0.25,1,2,0.5,1,3,4,6,3,1,2,2,18,15.6,"Kobe Bryant","Regular Season"
63,"2005-04-11","LAL","","PHO","L",1,"38:00",8,17,0.47,0,3,0,4,5,0.8,2,3,5,10,1,2,5,2,20,16.8,"Kobe Bryant","Regular Season"
64,"2005-04-17","LAL","","DAL","L",1,"35:00",9,15,0.6,5,9,0.56,10,11,0.91,4,3,7,9,2,0,8,2,33,28.9,"Kobe Bryant","Regular Season"
65,"2005-04-18","LAL","@","GSW","L",1,"37:00",9,27,0.33,0,4,0,4,6,0.67,3,3,6,5,1,0,6,2,22,6.6,"Kobe Bryant","Regular Season"
66,"2005-04-20","LAL","@","POR","L",1,"37:00",10,20,0.5,0,5,0,17,21,0.81,3,2,5,4,0,0,6,2,37,24.1,"Kobe Bryant","Regular Season"
1,"2005-11-02","LAL","@","DEN","W",1,"43:45",13,28,0.46,0,1,0,7,7,1,0,5,5,4,1,2,6,4,33,17.7,"Kobe Bryant","Regular Season"
2,"2005-11-03","LAL","","PHO","L",1,"41:11",13,26,0.5,0,2,0,13,14,0.93,2,5,7,5,0,0,3,3,39,27.8,"Kobe Bryant","Regular Season"
3,"2005-11-06","LAL","","DEN","W",1,"42:18",16,31,0.52,0,0,NA,5,5,1,3,5,8,5,0,1,4,2,37,24.7,"Kobe Bryant","Regular Season"
4,"2005-11-08","LAL","@","ATL","W",1,"37:33",15,26,0.58,0,0,NA,7,11,0.64,1,2,3,5,1,1,1,5,37,26.7,"Kobe Bryant","Regular Season"
5,"2005-11-09","LAL","@","MIN","L",1,"40:55",12,26,0.46,0,0,NA,4,6,0.67,1,3,4,4,1,0,3,0,28,16.2,"Kobe Bryant","Regular Season"
6,"2005-11-11","LAL","@","PHI","L",1,"40:40",7,27,0.26,0,2,0,3,4,0.75,3,6,9,7,1,0,3,4,17,5.7,"Kobe Bryant","Regular Season"
7,"2005-11-14","LAL","@","MEM","L",1,"34:00",7,18,0.39,0,0,NA,4,4,1,0,3,3,2,0,1,4,3,18,6,"Kobe Bryant","Regular Season"
8,"2005-11-16","LAL","","NYK","W",1,"44:00",15,36,0.42,0,1,0,12,14,0.86,3,2,5,3,2,1,0,3,42,28.3,"Kobe Bryant","Regular Season"
9,"2005-11-18","LAL","","LAC","L",1,"43:28",12,35,0.34,1,6,0.17,11,12,0.92,1,3,4,5,0,0,2,2,36,18.2,"Kobe Bryant","Regular Season"
10,"2005-11-20","LAL","","CHI","L",1,"46:06",17,34,0.5,1,4,0.25,8,12,0.67,1,5,6,3,2,0,3,3,43,26.5,"Kobe Bryant","Regular Season"
11,"2005-11-24","LAL","","SEA","W",1,"38:46",12,26,0.46,4,5,0.8,6,8,0.75,1,1,2,5,0,0,2,4,34,20.7,"Kobe Bryant","Regular Season"
12,"2005-11-27","LAL","","NJN","L",1,"49:31",14,36,0.39,4,12,0.33,14,16,0.88,0,3,3,3,2,0,5,5,46,23.6,"Kobe Bryant","Regular Season"
13,"2005-11-29","LAL","@","SAS","L",1,"41:24",9,33,0.27,0,6,0,7,8,0.88,1,3,4,0,4,1,3,0,25,8.4,"Kobe Bryant","Regular Season"
14,"2005-12-01","LAL","@","UTA","W",1,"44:20",11,31,0.35,2,6,0.33,6,9,0.67,2,5,7,3,2,0,2,6,30,14.1,"Kobe Bryant","Regular Season"
15,"2005-12-02","LAL","","MIN","L",1,"41:25",9,16,0.56,1,3,0.33,1,2,0.5,3,6,9,8,2,1,1,0,20,23.2,"Kobe Bryant","Regular Season"
16,"2005-12-04","LAL","","CHA","W",1,"40:15",9,30,0.3,0,4,0,11,12,0.92,2,4,6,4,1,0,2,3,29,14.4,"Kobe Bryant","Regular Season"
17,"2005-12-06","LAL","@","MIL","W",1,"40:42",14,24,0.58,0,2,0,5,5,1,1,4,5,6,1,1,2,1,33,27.2,"Kobe Bryant","Regular Season"
18,"2005-12-07","LAL","@","TOR","W",1,"26:23",5,12,0.42,1,2,0.5,0,2,0,1,1,2,9,0,0,4,2,11,6.3,"Kobe Bryant","Regular Season"
19,"2005-12-09","LAL","@","CHI","W",1,"37:25",9,21,0.43,0,1,0,5,7,0.71,1,8,9,8,1,0,4,2,23,16,"Kobe Bryant","Regular Season"
20,"2005-12-10","LAL","@","MIN","L",1,"40:47",11,20,0.55,3,6,0.5,10,12,0.83,0,4,4,3,0,1,7,1,35,21.2,"Kobe Bryant","Regular Season"
21,"2005-12-12","LAL","@","DAL","W",1,"43:15",15,33,0.45,3,9,0.33,10,12,0.83,2,3,5,2,4,1,2,3,43,30.3,"Kobe Bryant","Regular Season"
22,"2005-12-14","LAL","@","MEM","W",1,"31:18",10,17,0.59,2,4,0.5,5,8,0.62,2,6,8,3,1,0,3,2,27,20.4,"Kobe Bryant","Regular Season"
23,"2005-12-16","LAL","","WAS","W",1,"36:54",14,24,0.58,2,3,0.67,11,14,0.79,2,6,8,4,1,1,1,5,41,33.3,"Kobe Bryant","Regular Season"
24,"2005-12-18","LAL","","HOU","L",1,"37:47",6,13,0.46,1,3,0.33,11,12,0.92,0,2,2,6,2,0,3,2,24,19.9,"Kobe Bryant","Regular Season"
25,"2005-12-20","LAL","","DAL","W",1,"32:53",18,31,0.58,4,10,0.4,22,25,0.88,3,5,8,0,3,0,2,3,62,49.7,"Kobe Bryant","Regular Season"
26,"2005-12-23","LAL","@","ORL","W",1,"39:19",6,16,0.38,0,4,0,9,12,0.75,0,2,2,9,0,1,1,3,21,16.4,"Kobe Bryant","Regular Season"
27,"2005-12-25","LAL","@","MIA","L",1,"44:17",12,30,0.4,0,8,0,13,19,0.68,2,6,8,6,0,2,3,5,37,22.2,"Kobe Bryant","Regular Season"
28,"2005-12-26","LAL","@","WAS","L",1,"38:06",10,27,0.37,2,6,0.33,9,10,0.9,0,5,5,2,0,1,5,2,31,13.5,"Kobe Bryant","Regular Season"
29,"2005-12-28","LAL","","MEM","L",1,"46:35",13,37,0.35,4,8,0.5,15,19,0.79,2,5,7,4,2,1,2,5,45,27.1,"Kobe Bryant","Regular Season"
30,"2006-01-06","LAL","","PHI","W",1,"35:20",19,29,0.66,7,7,1,3,4,0.75,0,10,10,2,2,0,7,2,48,33.5,"Kobe Bryant","Regular Season"
31,"2006-01-07","LAL","@","LAC","W",1,"45:21",17,41,0.41,7,15,0.47,9,10,0.9,3,5,8,8,1,0,3,2,50,34.1,"Kobe Bryant","Regular Season"
32,"2006-01-09","LAL","","IND","W",1,"44:50",14,32,0.44,2,6,0.33,15,21,0.71,1,9,10,5,1,0,2,4,45,30.1,"Kobe Bryant","Regular Season"
33,"2006-01-11","LAL","@","POR","L",1,"44:28",13,29,0.45,3,13,0.23,12,13,0.92,0,2,2,3,4,0,2,5,41,28.2,"Kobe Bryant","Regular Season"
